Résumé,Clé de ticket,Type de ticket,État,Priorité,Rapporteur,Durée(mn),Création,Description,Champs personnalisés (Action menée),Canal,Entreprise,Utilisateur,Objet principal,Champs personnalisés (Module)
Appel pour point d'étape sur les blocages RH et Compta,OBCS-12156,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,9.34,07/déc./25 10:51,Appel pour point d'étape sur les blocages RH et Compta,Explication en ligne,Appel Téléphonique,KOFFI & DIABATE,KADIA KOFFI,Autres,Finance
Appel pour confirmation séance de travail du Vendredi 05/12,OBCS-12155,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.57,07/déc./25 10:47,Appel pour confirmation séance de travail du Vendredi 05/12,Explication en ligne,Appel Téléphonique,ARIC,NADIA CISSE,Planning Séance de travail,Finance
Rappel après appel manqué pour débrief + planning séance de travail avec l'équipe comptable,OBCS-12154,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,3.2,07/déc./25 10:46,Rappel après appel manqué pour débrief + planning séance de travail avec l'équipe comptable,Explication en ligne,Appel Téléphonique,ARIC,NADIA CISSE,Autres,Global
Appel pour confirmation séance de présentation au Mardi09/12,OBCS-12153,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.37,07/déc./25 10:42,Appel pour confirmation séance de présentation au Mardi09/12,Autres (Précisez dans la description),Appel Téléphonique,LABOGEM,Jean-Jacques LIKANE,Planning Séance de travail,Opérations
Appel pour planifier séance de présentation Process de vente,OBCS-12152,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,2.18,07/déc./25 10:40,Appel pour planifier séance de présentation Process de vente,Explication en ligne,Appel Téléphonique,LABOGEM,Jean-Jacques LIKANE,Planning Séance de travail,Opérations
Appel pour demande d'assistance sur le stock,OBCS-12151,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,1.16,07/déc./25 10:35,Appel pour demande d'assistance sur le stock,Explication en ligne,Appel Téléphonique,EDIPRESSE,ZAGBAYOU ANNE,Autres,Opérations
Appel pour signaler non affichage des documents dans OBC,OBCS-12150,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.56,07/déc./25 10:34,Appel pour signaler non affichage des documents dans OBC,Explication en ligne,Appel Téléphonique,EDIPRESSE,ZAGBAYOU ANNE,Bug,Global
Appel pour alignement sur données transmis à importer (RAN),OBCS-12149,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,3.16,07/déc./25 10:31,Appel pour alignement sur données transmis à importer (RAN),Explication en ligne,Appel Téléphonique,ARIC,Tapé Thibault Julien,Autres,Finance
Appel pour point d'étape sur les requêtes en cours (Stock + Compta Ana),OBCS-12148,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,3.58,07/déc./25 10:29,Appel pour point d'étape sur les requêtes en cours (Stock + Compta Ana),Explication en ligne,Appel Téléphonique,KORI TRANSPORT,SYLVER KOUASSI,Autres,Opérations
Rappel après traitement de recrémentation des numéros souhaités,OBCS-12147,Assistance,Terminé,Priorité 3,Vivien DAKPOGAN,0.25,07/déc./25 10:25,Rappel après traitement de recrémentation des numéros souhaités,Autres (Précisez dans la description),Appel Téléphonique,ARIC,Sika Simone Monique,Relance sur Bug en cours,Opérations
